system:index,date,precip_m,temp_2m,u_wind_10m,v_wind_10m,.geo
202401,2024-01,0.06933911237080177,299.87246649989055,-0.8430195537048424,-0.27897428536015384,"{""type"":""MultiPoint"",""coordinates"":[]}"
202402,2024-02,0.002324137433168079,302.1958867362869,-0.37182890336857083,-0.37543439950238966,"{""type"":""MultiPoint"",""coordinates"":[]}"
202403,2024-03,0.020978758048536952,302.6883287293048,0.7279196576269327,-0.09495271215894754,"{""type"":""MultiPoint"",""coordinates"":[]}"
202404,2024-04,0.04939155123316264,303.3587533615008,0.9619374941923673,0.0521384753069721,"{""type"":""MultiPoint"",""coordinates"":[]}"
202405,2024-05,0.6967068974997291,300.57421834460376,0.7489286522110274,-0.018430707725486828,"{""type"":""MultiPoint"",""coordinates"":[]}"
202406,2024-06,0.5382581781455953,298.65740845148173,1.2416597894302372,0.38740003326356454,"{""type"":""MultiPoint"",""coordinates"":[]}"
202407,2024-07,0.6716059463162929,298.18550401871966,1.7285705002167622,-0.2609814036163689,"{""type"":""MultiPoint"",""coordinates"":[]}"
202408,2024-08,0.2816243173788119,298.51361515939305,1.1007246716253731,0.04280975558848361,"{""type"":""MultiPoint"",""coordinates"":[]}"
202409,2024-09,0.17285801232625003,298.6939461039583,1.5392046452620427,-0.37398919536908937,"{""type"":""MultiPoint"",""coordinates"":[]}"
202410,2024-10,0.23556779238417097,298.6306965164511,0.0844483964284308,0.47073692565687447,"{""type"":""MultiPoint"",""coordinates"":[]}"
202411,2024-11,0.09536309887586406,299.07902212850234,-0.6383365004157906,-0.3402441436489258,"{""type"":""MultiPoint"",""coordinates"":[]}"
202412,2024-12,0.08723821218072297,298.86965232861576,-0.3678699904189341,-0.3633732216759516,"{""type"":""MultiPoint"",""coordinates"":[]}"
