date,NDVI,fire_count,fire_label
2024-01-01,5804.398401617337,1,1
2024-01-17,6095.867511134979,1,1
2024-02-02,5672.274439011447,1,1
2024-02-18,5669.76077755035,1,1
2024-03-05,5403.450913501629,1,1
2024-03-21,5449.271403482172,1,1
2024-04-06,5498.456068531572,1,1
2024-04-22,5176.503667273137,1,1
2024-05-08,5586.769716726051,1,1
2024-05-24,2851.631911277889,1,1
2024-06-09,6072.889691203599,1,1
2024-06-25,5271.282503221894,1,1
2024-07-11,4379.019792535313,0,0
2024-07-27,4220.415147322666,0,0
2024-08-12,3738.2389286887496,1,1
2024-08-28,2487.965200389155,1,1
2024-09-13,5020.490846031384,1,1
2024-09-29,6108.590888989968,0,0
2024-10-15,5789.237224486175,1,1
2024-10-31,6253.043009122382,1,1
2024-11-16,6276.542063366711,1,1
2024-12-02,6468.225332448912,1,1
2024-12-18,6256.311649872066,1,1
