temp_C,precip_mm,wind_speed,temp_C_t-1,precip_mm_t-1,wind_speed_t-1,fire_label_t-1,fire_label,month
1.2306657421766727,-1.0402864959204428,-1.006681705073833,-0.0938998944464605,-0.7587350493340084,-0.23731142334054722,0.5656854249492379,2,2024-02
1.5004739559622566,-0.9647588563670251,-0.5132186497279029,1.2014200256111458,-1.0287664648982493,-1.1475709609879239,0.5656854249492379,2,2024-03
1.8677985851680354,-0.8497229493603586,0.036809479148995836,1.475959221335068,-0.9535991815221108,-0.626886651515107,0.5656854249492379,2,2024-04
0.34215611400476204,1.771086187328176,-0.4770667087986323,1.849724744840901,-0.8391121318601713,-0.04651692905609519,0.5656854249492379,2,2024-05
-0.7080610907879006,1.129569106395408,0.8461313897395851,0.2973307271840455,1.769192645265956,-0.5887404353091878,0.5656854249492379,2,2024-06
-0.9666168067631723,1.669459055234768,1.9196630329871875,-0.7713016272346951,1.130736359617024,0.8074501827506211,0.5656854249492379,0,2024-07
-0.786845215299766,0.09052627980333625,0.36838493024438623,-1.0343910169820532,1.668050394800593,1.9402018169529895,-2.5455844122715714,2,2024-08
-0.6880421669544436,-0.3498398071273754,1.5257934968056248,-0.8514672006834325,0.09665099632228445,0.3033494549039193,0.5656854249492379,1,2024-09
-0.722696519081088,-0.09594444456038388,-1.1269956478036007,-0.7509316793691961,-0.34161402349408193,1.5246049749050916,-0.9899494936611668,2,2024-10
-0.4770596028616498,-0.6635962758856826,-0.5389696398339033,-0.7861936820624992,-0.08893004212243258,-1.274521867467204,0.5656854249492379,1,2024-11
-0.5917729955637043,-0.6964917995404177,-1.0338499776879029,-0.5362496181928161,-0.6538735027748027,-0.654058161836553,-0.9899494936611668,2,2024-12
