acq_date,region,fire_count
2025-08-06,West,2
2025-08-06,Central,16
2025-08-06,East,2
2025-08-06,Far East,1
2025-08-07,West,2
2025-08-07,Central,1
2025-08-07,East,1
2025-08-07,Far East,1
2025-08-08,West,0
2025-08-08,Central,1
2025-08-08,East,6
2025-08-08,Far East,0
2025-08-09,West,10
2025-08-09,Central,1
2025-08-09,East,6
2025-08-09,Far East,6
2025-08-10,West,1
2025-08-10,Central,5
2025-08-10,East,22
2025-08-10,Far East,1
2025-08-11,West,1
2025-08-11,Central,6
2025-08-11,East,12
2025-08-11,Far East,3
2025-08-12,West,1
2025-08-12,Central,0
2025-08-12,East,2
2025-08-12,Far East,3
2025-08-13,West,0
2025-08-13,Central,2
2025-08-13,East,1
2025-08-13,Far East,0
