acq_date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,region
2025-08-01,29.5,27.1,0.9,22.2,West
2025-08-02,29.8,26.8,1.3,20.7,West
2025-08-03,29.0,26.9,1.6,18.4,West
2025-08-04,28.6,26.8,1.3,17.2,West
2025-08-05,29.0,26.5,1.5,18.4,West
2025-08-06,29.0,26.7,0.2,16.5,West
2025-08-07,30.0,26.7,0.0,16.7,West
2025-08-08,30.0,26.6,0.0,17.4,West
2025-08-09,29.4,27.0,0.0,17.8,West
2025-08-10,29.2,27.0,3.1,16.6,West
2025-08-11,29.7,26.6,0.1,18.5,West
2025-08-12,29.4,27.1,1.9,15.5,West
2025-08-13,29.0,27.0,1.6,14.1,West
2025-08-01,27.6,23.6,0.7,11.2,Central
2025-08-02,28.0,24.7,1.6,10.3,Central
2025-08-03,29.1,24.6,0.8,10.0,Central
2025-08-04,30.3,24.7,0.0,14.0,Central
2025-08-05,30.5,24.8,0.0,11.4,Central
2025-08-06,30.9,24.2,0.0,10.5,Central
2025-08-07,31.2,24.9,0.3,11.7,Central
2025-08-08,30.2,24.0,2.0,9.7,Central
2025-08-09,27.5,23.2,11.0,8.0,Central
2025-08-10,29.0,23.9,9.3,7.9,Central
2025-08-11,28.2,23.8,26.5,7.6,Central
2025-08-12,28.3,23.8,26.2,8.7,Central
2025-08-13,26.3,24.2,21.7,4.7,Central
2025-08-01,29.1,24.3,14.0,8.4,East
2025-08-02,29.4,24.7,10.5,11.0,East
2025-08-03,28.9,24.3,6.4,12.5,East
2025-08-04,28.7,24.2,4.9,9.9,East
2025-08-05,30.7,24.3,19.6,9.7,East
2025-08-06,30.3,23.8,21.9,9.1,East
2025-08-07,30.2,24.1,33.9,7.5,East
2025-08-08,26.9,23.5,5.4,11.1,East
2025-08-09,30.1,23.6,1.4,12.5,East
2025-08-10,30.7,24.2,2.7,11.3,East
2025-08-11,30.9,24.7,4.4,9.2,East
2025-08-12,31.1,24.9,7.3,6.3,East
2025-08-13,29.3,24.8,8.7,10.1,East
2025-08-01,35.8,27.4,0.1,8.0,Far East
2025-08-02,31.8,26.6,3.6,6.9,Far East
2025-08-03,29.2,26.8,3.6,5.4,Far East
2025-08-04,32.1,26.1,23.6,6.9,Far East
2025-08-05,32.4,25.7,8.2,8.8,Far East
2025-08-06,33.5,25.9,6.8,8.9,Far East
2025-08-07,31.6,26.5,9.5,7.4,Far East
2025-08-08,31.4,26.0,0.9,8.5,Far East
2025-08-09,31.4,26.7,8.8,9.9,Far East
2025-08-10,30.4,26.3,2.2,12.3,Far East
2025-08-11,32.3,26.1,6.0,9.7,Far East
2025-08-12,32.4,26.7,39.1,7.8,Far East
2025-08-13,28.8,25.1,13.4,7.0,Far East
