mean,DISTRICT,orig_ogc_f,ST_NM,DT_CEN_CD,ST_CEN_CD,censuscode,system:index
0.15139000232533315,Alappuzha,7,Kerala,11,32,598,00000000000000000000
0.45668495754784977,Ernakulam,173,Kerala,8,32,595,00000000000000000001
0.25301267200373884,Idukki,232,Kerala,9,32,596,00000000000000000002
0.6310049259153347,Kannur,277,Kerala,2,32,589,00000000000000000003
0.7011007282550282,Kasaragod,288,Kerala,1,32,588,00000000000000000004
0.07913101474369333,Kollam,314,Kerala,13,32,600,00000000000000000005
0.3371937401916189,Kottayam,320,Kerala,10,32,597,00000000000000000006
0.4084641998953422,Kozhikode,321,Kerala,4,32,591,00000000000000000007
0.4825248010712798,Malappuram,358,Kerala,5,32,592,00000000000000000008
0.40896210271998534,Palakkad,422,Kerala,6,32,593,00000000000000000009
0.11846481969966251,Pathanamthitta,436,Kerala,12,32,599,0000000000000000000a
0.08423270097133655,Thiruvananthapuram,567,Kerala,14,32,601,0000000000000000000b
0.5617167884102524,Thrissur,571,Kerala,7,32,594,0000000000000000000c
0.09560843498883763,Wayanad,610,Kerala,3,32,590,0000000000000000000d
